date,spot,vix,vix3m,r,cash,mark,equity,interest,realised_pnl,position_open,filter_active
2005-01-03,1211.9200439453125,13.289999961853027,,0.022163901724908078,400000.0,0.0,400000.0,0.0,0.0,False,False
2005-01-04,1202.0799560546875,14.079999923706056,,0.023285516164195733,400791.31334018474,-1532.0233953430686,399259.2899448417,24.28994484171554,0.0,True,False
2005-01-05,1188.050048828125,13.979999542236328,,0.02338749666748501,400816.88301224937,-1316.4587133247253,399500.4242989246,25.569672064596944,0.0,True,False
2005-01-06,1183.739990234375,14.09000015258789,,0.023285516164195733,400842.56631045905,-1302.800458141573,399539.7658523175,25.683298209662723,0.0,True,False
2005-01-07,1187.8900146484375,13.579999923706056,,0.023081562935935395,400868.1392523591,-1178.081629050466,399690.0576233086,25.57294190004155,0.0,True,False
2005-01-10,1186.18994140625,13.489999771118164,,0.02318353825372344,400944.1957529799,-1079.067070241264,399865.12868273864,76.05650062081396,0.0,True,False
2005-01-11,1190.25,13.229999542236328,,0.023693453735569706,400969.66315108654,-1003.2090928862153,399966.45405820035,25.467398106636523,0.0,True,False
2005-01-12,1182.989990234375,13.1899995803833,,0.02348947976372222,400995.6923689521,-996.771200285051,399998.92116866703,26.029217865561314,0.0,True,False
2005-01-13,1187.699951171875,12.5600004196167,,0.02338749666748501,401021.4991724923,-867.267018519972,400154.2321539723,25.806803540198594,0.0,True,False
2005-01-14,1177.449951171875,12.84000015258789,,0.02348947976372222,401047.1955819707,-951.423206199728,400095.77237577096,25.696409478386087,0.0,True,False
2005-01-18,1184.52001953125,12.43000030517578,,0.02359146545304013,401150.4460212303,-759.901037331528,400390.54498389876,103.25043925964738,0.0,True,False
2005-01-19,1195.97998046875,12.470000267028809,,0.023999434143750862,401176.37487803947,-689.6402598727763,400486.7346181667,25.928856809175397,0.0,True,False
2005-01-20,1184.6300048828125,13.18000030517578,,0.023693453735569706,401202.7538438629,-782.2511126296082,400420.5027312333,26.378965823453544,0.0,True,False
2005-01-21,1175.4100341796875,13.829999923706056,,0.02348947976372222,401228.798192969,-899.3611681163505,400329.43702485267,26.04434910610712,0.0,True,False
2005-01-24,1167.8699951171875,14.359999656677246,,0.02348947976372222,401306.26859496534,-953.3243743908148,400352.9442205745,77.47040199636253,0.0,True,False
2005-01-25,1163.75,14.649999618530272,,0.02379544461144372,401332.09538620064,-1008.5160087579229,400323.5793774427,25.82679123533225,0.0,True,False
2005-01-26,1168.4100341796875,14.0600004196167,,0.023999434143750862,401358.2602819426,-851.9658393938491,400506.29444254877,26.164895741993448,0.0,True,False
