date,spot,vix,vix3m,r,cash,mark,equity,interest,realised_pnl,position_open,filter_active
2005-01-03,1202.0799560546875,14.079999923706056,,0.023285516164195733,400000.0,0.0,400000.0,0.0,0.0,False,False
2005-01-04,1188.050048828125,13.979999542236328,,0.02338749666748501,400738.6417067429,-1478.1225188628107,399260.5191878801,25.51918788009644,0.0,True,False
2005-01-05,1183.739990234375,14.09000015258789,,0.023285516164195733,400764.31999145425,-1393.7933063923674,399370.52668506186,25.67828471131272,0.0,True,False
2005-01-06,1187.8900146484375,13.579999923706056,,0.023081562935935395,400789.887941398,-1295.3649736860662,399494.52296771196,25.567949943752527,0.0,True,False
2005-01-07,1186.18994140625,13.489999771118164,,0.02318353825372344,400815.23355654243,-1212.5602242068555,399602.6733323356,25.345615144438927,0.0,True,False
2005-01-10,1190.25,13.229999542236328,,0.023693453735569706,400891.6160278823,-1102.7054909335675,399788.91053694877,76.3824713399178,0.0,True,False
2005-01-11,1182.989990234375,13.1899995803833,,0.02348947976372222,400917.64017926593,-988.5019910585794,399929.13818820735,26.024151383579365,0.0,True,False
2005-01-12,1187.699951171875,12.5600004196167,,0.02338749666748501,400943.4419596162,-880.9833642258529,400062.4585953904,25.80178035026552,0.0,True,False
2005-01-13,1177.449951171875,12.84000015258789,,0.02348947976372222,400969.1333673924,-867.8377743568446,400101.2955930356,25.691407776210657,0.0,True,False
2005-01-14,1184.52001953125,12.43000030517578,,0.02359146545304013,400994.93846167997,-791.3723283298991,400203.5661333501,25.805094287584367,0.0,True,False
2005-01-18,1195.97998046875,12.470000267028809,,0.023999434143750862,401098.6237354185,-758.1215455289791,400340.5021898895,103.6852737385278,0.0,True,False
2005-01-19,1184.6300048828125,13.18000030517578,,0.023693453735569706,401124.9975887905,-750.5648041011196,400374.43278468936,26.373853372017297,0.0,True,False
2005-01-20,1175.4100341796875,13.829999923706056,,0.02348947976372222,401151.0368902965,-801.5014337455282,400349.53545655095,26.039301506027392,0.0,True,False
2005-01-21,1167.8699951171875,14.359999656677246,,0.02348947976372222,401176.8536913145,-867.6836071654328,400309.1700841491,25.816801018026094,0.0,True,False
2005-01-24,1163.75,14.649999618530272,,0.02379544461144372,401254.3140637182,-837.6264059628293,400416.6876577554,77.4603724036643,0.0,True,False
2005-01-25,1168.4100341796875,14.0600004196167,,0.023999434143750862,401280.4738884972,-718.8203522913515,400561.6535362059,26.15982477902581,0.0,True,False
2005-01-26,1174.0699462890625,13.4399995803833,,0.024101432800448245,401306.8596992508,-613.2229462710054,400693.6367529798,26.38581075354185,0.0,True,False
2005-01-27,1174.550048828125,13.239999771118164,,0.024407444334296906,401333.3593969172,-574.8980878840288,400758.4613090332,26.499697666417006,0.0,True,False
2005-01-28,1171.3599853515625,13.239999771118164,,0.024509453367272362,400746.75506803446,0.0,400746.75506803446,26.83794287160409,99.68024710846089,False,False
2005-01-31,1181.27001953125,12.81999969482422,,0.025223589248672858,400827.4926567136,0.0,400827.4926567136,80.73758867912942,0.0,False,False
2005-02-01,1189.4100341796875,12.029999732971191,,0.025121562052130356,401529.4531100841,-1439.2600221857117,400090.1930878984,27.700431184845502,0.0,True,False
