sigma definition,side,k,median distance (%),"finish beyond, all (%)","finish beyond, 2022 (%)","touch, all (%)","touch, 2022 (%)",windows
doc: rv21 only,put,2.0,7.517216270040494,3.255813953488372,3.187250996015936,8.706976744186047,10.756972111553784,5375
doc: rv21 only,call,1.5,5.63791220253036,6.604651162790698,1.593625498007968,11.776744186046512,5.9760956175298805,5375
"strategy: max(rv21, rv63, VIX)",put,2.0,10.016986274834705,1.0192735359525573,0.398406374501992,4.040029651593773,2.788844621513944,5396
"strategy: max(rv21, rv63, VIX)",call,1.5,7.512739706126026,0.6671608598962194,0.796812749003984,1.2601927353595257,0.796812749003984,5396
